H1_T1_R1	H1_T1_R2	H1_T1_R3	H1_T2_R1	H1_T2_R2	H1_T2_R3	H1_T3_R1	H1_T3_R2	H1_T3_R3	H2_T1_R1	H2_T1_R3	H2_T2_R1	H2_T2_R2	H2_T2_R3	H2_T3_R1	H2_T3_R2	H2_T3_R3	H3_T1_R1	H3_T1_R2	H3_T1_R3	H3_T2_R1	H3_T2_R2	H3_T2_R3	H3_T3_R1	H3_T3_R2	H3_T3_R3	H4_T1_R1	H4_T1_R2	H4_T1_R3	H4_T2_R1_dup	H4_T2_R1	H4_T2_R2	H4_T2_R3	H4_T3_R1	H4_T3_R2	H4_T3_R3	H5_T1_R1	H5_T1_R2	H5_T1_R3	H5_T2_R1	H5_T2_R2	H5_T2_R3	H5_T3_R1	H5_T3_R2	H5_T3_R3	H6_T1_R1	H6_T1_R2	H6_T1_R3	H6_T2_R1	H6_T2_R2	H6_T2_R3	H6_T3_R1	H6_T3_R2	H6_T3_R3	H7_T1_R1	H7_T1_R2	H7_T1_R3	H7_T2_R1	H7_T2_R2	H7_T2_R3	H7_T3_R1	H7_T3_R2	H7_T3_R3	H8_T1_R1	H8_T1_R2	H8_T1_R3	H8_T2_R1	H8_T2_R2	H8_T2_R3	H8_T3_R1	H8_T3_R2	H8_T3_R3	H9_T1_R1	H9_T1_R2	H9_T1_R3	H9_T2_R1	H9_T2_R2	H9_T2_R3	H9_T3_R1	H9_T3_R2	H9_T3_R3
SV_13	71	1454	638	907	291	858	902	1082	801	599	292	296	1574	1053	636	1244	944	432	336	1091	200	1404	51	241	1280	127	992	192	3358	667	646	3030	224	195	324	361	1844	282	576	1412	1776	627	1414	550	506	476	233	868	2298	988	277	1680	700	553	2134	1015	1383	244	491	685	315	297	999	132	1200	202	2034	637	2330	1034	1662	272	397	1148	1330	204	1354	86	326	408	689
SV_14	650	2339	988	722	751	2577	568	546	88	444	685	154	1212	91	210	1038	784	472	1903	861	291	285	2435	790	466	501	1548	471	1119	999	1023	358	932	1766	189	1666	1461	1397	1329	1310	347	1059	2857	1211	1622	284	1169	1180	555	476	749	140	259	533	2656	213	552	646	201	611	621	635	88	1475	1082	1025	1120	569	1301	226	551	712	275	553	60	78	194	1169	637	243	1134
SV_15	287	598	339	662	916	371	583	995	958	1295	556	1339	118	611	1082	348	2157	1698	412	1967	88	117	161	354	315	227	73	247	130	946	949	750	1849	1589	2856	89	783	131	986	318	1183	240	444	995	459	373	1170	451	2445	619	217	690	943	605	3440	477	1960	1602	798	535	3754	1596	926	582	299	592	396	1203	447	119	279	827	2832	757	339	217	437	278	350	123	1414
SV_16	241	432	444	415	0	1163	0	280	175	1010	117	437	875	70	744	457	113	94	162	79	1250	775	4180	158	309	774	256	49	413	703	715	782	1504	69	129	45	110	2041	112	750	208	501	965	503	1341	1729	6856	1364	274	1042	768	623	176	401	1551	1405	492	474	822	669	947	69	1496	825	1880	981	641	1227	717	1088	2222	774	981	1835	507	585	394	318	357	612	484
SV_17	365	0	2009	248	1110	542	699	173	720	1414	955	286	841	237	85	691	179	0	179	0	57	552	5115	84	156	417	36	700	180	1159	1092	516	85	0	275	118	166	1496	2103	302	94	1191	1239	342	2586	1777	401	267	584	1110	632	419	190	1664	180	247	379	2872	0	2110	1337	1912	1050	36	539	742	629	111	660	826	1031	256	199	1664	103	0	469	2961	3895	384	565
SV_18	944	651	1782	590	0	131	2605	103	328	393	403	128	1769	230	382	651	3318	6928	650	576	139	227	517	0	192	700	0	1626	271	1472	1505	165	114	668	1037	683	98	103	178	956	1029	251	412	212	199	627	2849	588	552	297	927	4936	420	1083	979	160	1738	307	0	207	786	288	1643	0	867	214	956	249	1059	261	415	359	302	2388	148	340	280	0	491	269	267
SV_19	389	304	334	462	498	462	340	213	78	717	490	108	851	270	769	667	1685	938	1835	2492	163	140	766	720	861	588	1708	993	140	860	913	205	287	582	457	53	758	775	557	1155	214	62	297	3140	177	1316	2272	226	122	296	0	2309	554	741	827	606	822	274	299	998	505	203	176	1159	2156	123	569	1353	587	679	927	367	395	1117	153	2063	83	984	162	647	819
SV_20	0	0	0	6759	242	0	142	518	0	95	9265	33	0	0	0	0	68	0	7682	998	8552	55	134	0	62	18	0	5060	62	0	0	0	83	0	0	63	0	0	0	28	0	69	52	58	65	49	123	0	478	68	194	0	32	1127	40	92	0	60	0	73	66	17	0	60	339	97	125	127	204	0	77	0	0	36	7095	0	1398	408	34	0	4459
SV_21	805	70	331	1102	220	1519	1217	48	469	131	288	1297	1371	490	343	519	195	294	553	360	1056	309	50	2062	618	397	244	487	664	809	828	320	200	187	101	439	960	1666	727	518	67	605	705	115	498	1053	85	93	59	1812	371	70	3489	590	993	104	343	108	561	206	672	908	668	488	109	69	283	60	322	811	215	598	1044	3534	2482	985	752	798	204	1187	1395
SV_22	555	91	564	51	134	1122	85	56	162	494	324	1085	1896	689	545	83	341	416	275	945	212	413	31	975	1035	93	16	462	819	1139	1170	204	86	53	130	661	1387	2128	682	497	59	573	867	130	755	2297	111	120	45	1063	455	69	1293	245	205	41	671	114	239	107	338	759	1193	344	103	735	136	61	158	334	134	61	2049	2429	2775	65	123	1113	222	890	1161
SV_23	212	76	323	221	548	741	524	769	232	469	253	666	1029	529	345	424	524	322	363	440	381	645	512	790	558	552	405	546	281	566	560	393	625	678	498	397	353	514	395	973	351	836	1238	929	719	520	640	893	445	963	903	749	938	551	679	443	758	739	775	734	870	789	789	515	421	437	306	696	313	826	449	359	1144	841	329	420	493	195	660	633	453
SV_24	64	0	0	56	48	0	1186	456	93	3945	0	1156	293	0	269	1191	0	1197	308	0	381	0	81	2370	300	228	38	54	544	98	45	0	98	193	0	102	292	0	294	662	0	319	2616	670	650	1768	2055	0	302	272	20	0	111	319	358	3260	2036	0	817	172	2032	25	259	3557	63	303	89	176	92	187	434	52	416	2693	406	99	0	149	610	663	286
SV_25	342	2447	685	728	493	421	192	243	301	989	213	0	335	247	499	813	182	951	337	233	138	4510	69	375	226	296	233	316	313	161	90	202	191	411	614	315	603	337	715	2111	275	567	933	645	755	1419	328	126	884	163	211	876	232	511	568	385	867	104	507	413	821	316	1662	63	482	237	157	454	149	255	206	110	697	1323	190	364	279	0	754	614	443
SV_26	450	541	117	709	25	411	365	318	695	521	70	842	370	1043	694	0	836	94	601	362	803	272	1332	810	216	100	472	183	176	211	176	69	522	569	496	280	110	808	104	1404	687	1440	623	614	165	72	71	119	115	2193	472	474	268	999	451	1043	745	107	185	231	563	169	1059	212	357	72	442	807	406	654	91	1565	1269	480	538	386	285	54	93	375	392
SV_27	543	1102	492	1412	319	68	123	159	105	1750	1198	447	502	547	174	383	229	276	226	207	60	266	77	307	330	356	166	295	3475	209	138	380	140	199	376	326	1008	444	762	2613	341	224	705	165	296	581	392	660	190	272	265	823	1059	694	252	194	1188	0	364	131	638	514	794	72	251	326	166	396	170	309	360	246	642	899	433	205	0	294	865	470	379
SV_28	3701	679	126	235	2192	1542	45	84	685	225	116	1106	503	163	143	93	115	438	531	363	204	623	0	288	102	91	0	87	998	705	817	538	494	532	94	324	336	340	224	456	82	1273	324	0	409	1933	346	662	0	278	330	198	179	335	883	417	650	0	0	851	67	289	177	764	352	315	96	172	116	231	379	183	428	832	125	87	508	0	1908	86	0
SV_29	95	384	628	206	258	102	454	120	207	427	632	286	499	131	935	195	181	185	314	428	684	986	770	150	94	713	0	303	451	516	528	102	182	399	225	731	497	522	324	2023	316	457	246	1088	138	0	234	120	531	286	993	1992	107	218	160	928	565	0	1245	90	613	471	311	1057	0	741	243	776	278	753	133	1230	66	516	130	0	597	411	170	340	106
SV_30	310	562	241	405	123	88	69	767	463	389	1059	277	730	447	630	829	387	1600	282	697	559	450	23	545	659	308	1171	537	280	661	610	122	717	729	751	348	462	158	301	533	350	315	439	564	227	244	452	312	651	480	146	297	812	224	119	60	155	145	168	18	674	315	580	182	175	588	279	298	310	581	171	456	621	648	214	133	86	125	39	68	156
SV_31	445	28	368	68	131	2096	256	27	1216	273	366	473	2295	720	375	94	159	82	189	1096	141	196	59	227	448	131	238	465	588	567	601	133	61	185	57	328	1011	1138	1081	473	167	522	935	132	488	929	176	111	46	580	99	60	81	55	133	49	246	87	119	74	150	477	532	629	93	35	66	51	86	129	600	72	922	1035	1693	72	137	565	207	426	790
SV_33	17	1084	0	22	1966	0	791	12820	20	0	0	0	27	0	22	0	0	0	0	0	801	0	102	41	49	40	758	35	0	0	0	1496	32	0	31	17	36	39	0	0	0	91	0	0	109	0	72	0	492	0	0	736	0	531	24	130	0	1757	0	1984	0	0	877	127	0	104	66	51	98	40	0	0	28	0	13	0	0	0	182	58	639
SV_34	37	148	84	71	102	0	2354	506	280	67	102	75	0	210	620	311	0	144	555	326	56	458	291	725	1580	176	0	0	83	0	0	470	1451	379	0	90	28	131	359	509	458	997	353	136	60	0	596	126	332	69	685	25	67	73	64	576	588	407	215	0	0	575	307	295	223	324	409	764	448	1876	748	1127	0	325	0	0	150	269	100	198	0
SV_35	0	376	1893	45	526	68	75	71	0	172	96	56	385	0	58	0	0	234	1086	0	71	58	0	362	0	47	370	0	0	679	743	109	0	113	0	196	997	0	335	308	225	33	107	132	135	67	0	545	0	0	36	0	244	327	157	0	210	0	0	80	199	98	65	0	1157	48	82	0	74	110	246	0	208	247	162	0	2599	309	333	1566	170
SV_36	0	156	219	456	536	0	0	0	0	0	55	1030	0	1609	0	0	310	103	438	433	0	2112	210	0	377	79	0	0	0	68	0	141	0	139	0	157	186	80	161	124	1590	0	213	196	0	0	0	108	215	388	150	189	298	77	0	69	1339	327	83	0	0	0	0	0	0	967	167	277	151	170	970	113	321	840	256	306	364	51	0	0	201
SV_37	356	0	540	486	78	81	0	0	0	319	111	0	0	0	481	0	0	116	213	120	52	141	0	851	0	79	0	0	68	0	0	0	416	0	0	65	0	84	131	0	78	96	283	950	83	2431	268	893	1567	354	1276	0	0	356	51	1586	0	52	0	0	50	120	78	727	97	0	139	247	131	359	131	0	0	143	179	1388	68	147	35	55	262
SV_39	168	307	222	128	228	146	214	157	143	115	133	259	213	230	126	114	47	520	316	247	228	165	298	181	219	338	384	301	365	337	318	251	228	162	166	123	177	254	125	226	154	267	326	277	172	255	97	114	159	240	249	241	283	148	348	329	261	249	173	341	207	180	138	362	222	247	232	321	241	221	231	193	382	405	186	137	157	83	160	221	158
SV_40	0	96	132	0	0	0	0	0	0	393	234	814	0	0	0	743	294	161	82	0	0	0	0	126	404	201	69	0	389	0	0	0	92	0	140	0	91	0	119	372	326	191	1087	0	200	357	301	339	0	104	0	690	137	192	0	1335	191	91	194	542	582	0	650	0	96	595	0	0	0	0	87	0	821	672	0	637	0	0	269	1242	71
SV_41	211	244	118	0	168	0	50	194	0	106	0	360	146	0	0	138	0	0	141	0	106	71	31	0	0	0	599	347	88	106	109	0	364	459	1011	603	146	0	85	0	0	0	112	0	102	1525	0	0	0	199	931	0	0	139	0	0	138	0	276	400	0	91	41	0	158	1101	79	240	86	266	264	0	322	543	236	1464	1547	53	227	0	0
SV_42	263	170	497	93	198	44	68	54	134	302	226	127	158	300	143	574	124	550	806	386	158	175	195	325	434	186	484	138	273	219	216	196	175	180	278	183	125	157	73	315	142	335	94	157	135	74	247	347	516	93	132	277	107	82	81	159	135	67	0	119	124	103	195	143	56	250	171	129	178	190	272	194	174	173	79	454	70	99	142	225	92
SV_43	87	82	50	1441	54	556	16	0	11	38	80	1183	0	15	133	58	21	76	135	0	0	0	0	38	25	93	218	333	429	14	0	131	233	140	447	114	34	522	107	275	184	28	58	117	18	22	34	926	21	120	78	71	0	74	120	473	62	23	927	118	1400	792	83	31	25	0	21	0	17	87	196	74	81	360	0	15	1445	423	60	185	28
SV_44	56	0	290	0	0	718	21	0	0	207	97	364	3188	164	34	9	0	0	0	0	105	0	0	0	0	0	1762	226	56	23	15	16	25	20	18	0	135	16	153	112	75	170	24	758	42	61	0	1821	56	29	55	125	0	17	808	1282	75	121	29	142	0	0	0	14	22	846	192	30	173	0	0	18	0	0	9	896	24	172	0	0	81
SV_45	26	0	193	27	128	60	54	27	245	781	271	25	164	97	17	104	94	0	44	0	39	71	234	24	163	15	56	235	33	137	98	132	19	0	239	22	41	137	273	61	12	161	887	49	950	463	185	754	92	171	33	224	12	870	50	41	68	724	0	824	697	150	187	8	70	20	77	14	76	448	139	72	18	288	74	0	65	137	76	106	696
SV_46	0	0	0	557	0	81	225	0	33	0	0	140	0	60	0	0	35	0	509	49	327	25	0	59	0	35	30	0	93	429	420	117	0	0	101	0	818	1061	0	69	22	270	263	1441	0	217	135	0	17	0	0	0	0	0	38	57	16	83	995	0	0	805	0	0	0	0	0	0	0	38	0	271	45	121	0	0	139	0	2180	52	146
SV_47	873	94	772	0	105	70	104	0	0	0	0	257	0	147	0	62	109	0	0	0	0	109	69	202	0	0	0	0	0	510	616	147	154	401	524	458	1146	0	122	51	307	0	53	0	78	0	0	149	0	62	666	0	0	0	96	204	128	75	101	134	0	902	96	0	0	0	366	0	372	820	0	57	0	76	0	0	0	257	122	167	188
SV_48	362	521	120	572	0	253	0	0	951	0	35	0	0	0	0	0	0	0	0	38	0	0	0	113	159	63	0	305	0	377	372	0	0	72	95	0	0	590	112	798	0	708	649	540	647	0	92	39	46	165	0	0	0	90	230	0	221	0	271	128	114	60	82	635	0	0	29	0	32	302	129	0	242	55	0	0	0	0	0	124	702
